date,count
2015-06-01,129507
2015-06-02,128599
2015-06-03,126231
2015-06-04,124836
2015-06-05,120517
2015-06-06,107930
2015-06-07,105913
2015-06-08,121820
2015-06-09,121376
2015-06-10,119846
2015-06-11,119631
2015-06-12,115900
2015-06-13,102833
2015-06-14,101297
2015-06-15,117861
2015-06-16,117185
2015-06-17,115333
2015-06-18,113817
2015-06-19,110055
2015-06-20,97694
2015-06-21,94766
2015-06-22,109931
2015-06-23,110582
2015-06-24,108569
2015-06-25,107600
2015-06-26,104593
2015-06-27,94095
2015-06-28,92085
2015-06-29,105970
2015-06-30,106533
2015-07-01,105866
2015-07-02,102835
2015-07-03,95044
2015-07-04,82522
2015-07-05,82496
2015-07-06,123026
2015-07-07,124254
2015-07-08,123009
2015-07-09,121665
2015-07-10,117752
2015-07-11,103714
2015-07-12,102771
2015-07-13,118935
2015-07-14,119224
2015-07-15,119544
2015-07-16,117454
2015-07-17,113702
2015-07-18,100887
2015-07-19,98904
2015-07-20,115168
2015-07-21,115719
2015-07-22,114283
2015-07-23,112182
2015-07-24,109189
2015-07-25,95668
2015-07-26,94108
2015-07-27,109705
2015-07-28,109739
2015-07-29,110040
2015-07-30,108287
2015-07-31,105267
2015-08-01,92412
2015-08-02,90982
2015-08-03,144595
2015-08-04,144396
2015-08-05,140217
2015-08-06,137964
2015-08-07,134542
2015-08-08,118230
2015-08-09,115834
2015-08-10,134754
2015-08-11,134915
2015-08-12,133689
2015-08-13,129831
2015-08-14,127093
2015-08-15,112821
2015-08-16,111455
2015-08-17,130298
2015-08-18,130798
2015-08-19,127717
2015-08-20,126824
2015-08-21,123446
2015-08-22,109130
2015-08-23,106818
2015-08-24,122264
2015-08-25,123294
2015-08-26,123245
2015-08-27,121447
2015-08-28,116934
2015-08-29,104795
2015-08-30,106054
2015-08-31,120560
2015-09-01,120375
2015-09-02,119800
2015-09-03,118057
2015-09-04,114559
2015-09-05,100571
2015-09-06,96733
2015-09-07,107780
2015-09-08,117359
2015-09-09,145714
2015-09-10,144090
2015-09-11,138930
2015-09-12,125776
2015-09-13,126421
2015-09-14,141142
2015-09-15,140708
2015-09-16,139839
2015-09-17,137675
2015-09-18,133683
2015-09-19,119761
2015-09-20,120760
2015-09-21,136829
2015-09-22,135404
2015-09-23,134374
2015-09-24,132290
2015-09-25,129143
2015-09-26,115246
2015-09-27,116628
2015-09-28,132122
2015-09-29,132532
2015-09-30,131583
2015-10-01,130150
2015-10-02,126720
2015-10-03,114136
2015-10-04,115152
2015-10-05,155647
2015-10-06,154499
2015-10-07,153259
2015-10-08,150428
2015-10-09,146954
2015-10-10,130227
2015-10-11,129563
2015-10-12,148947
2015-10-13,149284
2015-10-14,149152
2015-10-15,147621
2015-10-16,142570
2015-10-17,126443
2015-10-18,127977
2015-10-19,145268
2015-10-20,144573
2015-10-21,143961
2015-10-22,141815
2015-10-23,138053
2015-10-24,123549
2015-10-25,125211
2015-10-26,141755
2015-10-27,140869
2015-10-28,140919
2015-10-29,137825
2015-10-30,133224
2015-10-31,118243
2015-11-01,118799
2015-11-02,169612
2015-11-03,169870
2015-11-04,167280
2015-11-05,165390
2015-11-06,161132
2015-11-07,145538
2015-11-08,144623
2015-11-09,162088
2015-11-10,161657
2015-11-11,162656
2015-11-12,160364
2015-11-13,156753
2015-11-14,140695
2015-11-15,140075
2015-11-16,158016
2015-11-17,157976
2015-11-18,155622
2015-11-19,153305
2015-11-20,150023
2015-11-21,136122
2015-11-22,135108
2015-11-23,150398
2015-11-24,148095
2015-11-25,143503
2015-11-26,125584
2015-11-27,126732
2015-11-28,125835
2015-11-29,129748
2015-11-30,149546
2015-12-01,150427
2015-12-02,146490
2015-12-03,144385
2015-12-04,140608
2015-12-05,127122
2015-12-06,125684
2015-12-07,142372
2015-12-08,169421
2015-12-09,168558
2015-12-10,167431
2015-12-11,163149
2015-12-12,147661
2015-12-13,145931
2015-12-14,164826
2015-12-15,163380
2015-12-16,160218
2015-12-17,157535
2015-12-18,153191
2015-12-19,137649
2015-12-20,132113
2015-12-21,148717
2015-12-22,147253
2015-12-23,143192
2015-12-24,131777
2015-12-25,112553
2015-12-26,115130
